業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
テスト環境準備業務	stfw導入フロー	""	配布物（バイナリ / Docker image / compose.yaml）を取得する	""	""	""	""	アクター	環境管理者	GitHub Releasesから対象プラットフォームのバイナリ（linux/darwin × amd64/arm64 + windows/amd64）を、またはghcr.ioからDocker image / compose.yaml（stfw + nginx）を取得する（システム外作業: curl・docker pull。installスクリプトと依存モジュール（dl.bintray.com）のダウンロードは廃止）	提供者
テスト環境準備業務	stfw導入フロー	""	stfwを実行パス配置またはコンテナ起動で利用可能にする	""	""	""	""	アクター	環境管理者	バイナリを実行パスに配置、またはDockerコンテナ / composeを起動してstfwコマンドを利用可能にする。追加のランタイム（JVM / Python 2 / Ruby）・依存モジュールは不要（システム外作業）	提供者
テスト環境準備業務	stfw導入フロー	""	導入済みホストでstfwの利用を開始する	""	""	""	""	アクター	テスト実行者	配布物の配置のみの最短手順で用意されたシナリオテスト実行基盤を受け取り、プロジェクト初期化以降の作業に着手する	受益者
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクトディレクトリを作成し初期化する	""	プロジェクトを初期化する	情報	プロジェクト	""	""	stfw initでテンプレート一式（stfw.yml・config・sampleシナリオ）をプロジェクトディレクトリへ展開してプロジェクトを開始する（再初期化は禁止）	""
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクトディレクトリを作成し初期化する	""	プロジェクトを初期化する	情報	プロジェクト設定（stfw.yml）	""	""	""	""
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクトディレクトリを作成し初期化する	""	プロジェクトを初期化する	条件	プロジェクト再初期化禁止	""	""	""	""
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクトディレクトリを作成し初期化する	""	プロジェクトを初期化する	画面	プロジェクト初期化CLI	アクター	テスト実行者	""	提供者
テスト環境準備業務	プロジェクト初期化フロー	""	プロジェクト設定（stfw.yml）を編集する	""	""	""	""	アクター	テスト実行者	OTelエンドポイント・inventory・timezone等をプロジェクトに合わせて編集する。設定はデフォルト（stfw本体の内蔵デフォルト）→プロジェクトの順に上書きされ、全スクリプトへ環境変数として公開される。stfw.server.*設定は廃止され読み込み時に廃止警告が表示される（システム外作業: エディタ）	提供者
テスト環境準備業務	プロジェクト初期化フロー	""	暗号化キーペアを生成する	""	暗号化キーを生成する	情報	暗号化キー	""	""	stfw secret keygenで資格情報暗号化用のage (X25519)キーペアを生成し、資格情報を平文で扱わない準備を整える（再生成は--force指定時のみ）	""
テスト環境準備業務	プロジェクト初期化フロー	""	暗号化キーペアを生成する	""	暗号化キーを生成する	情報	プロジェクト	""	""	""	""
テスト環境準備業務	プロジェクト初期化フロー	""	暗号化キーペアを生成する	""	暗号化キーを生成する	条件	暗号化キー再生成の抑止	""	""	""	""
テスト環境準備業務	プロジェクト初期化フロー	""	暗号化キーペアを生成する	""	暗号化キーを生成する	画面	暗号化キー生成CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	プロジェクト初期化フロー	""	初期化されたプロジェクトで作業に着手する	""	""	""	""	アクター	テスト実行者	テンプレートとsampleシナリオが展開されたプロジェクトを受け取り、即座にシナリオ作成・実行の作業を開始できる	受益者
テスト環境準備業務	接続情報管理フロー	""	環境別inventoryにテスト対象ホストグループを定義する	""	""	""	""	アクター	環境管理者	staging等の環境別inventoryファイルにweb/ap/db等のホストグループを定義する（システム外作業: エディタ）	提供者
テスト環境準備業務	接続情報管理フロー	""	inventory定義を確認する	""	テスト対象ホスト情報を参照する	情報	インベントリ	""	""	stfw inventory existsでホストグループの存在確認、stfw inventory listでホスト一覧取得を行い、定義内容を検証する（旧 --is-exist / --list と出力互換）	""
テスト環境準備業務	接続情報管理フロー	""	inventory定義を確認する	""	テスト対象ホスト情報を参照する	条件	inventory 全件指定	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	inventory定義を確認する	""	テスト対象ホスト情報を参照する	画面	インベントリ照会CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	情報	パスワード	""	""	stfw secret setでホスト×ユーザー単位の資格情報をage (X25519)で暗号化保管し、stfw secret showで復号表示して登録内容を確認する（重複登録は禁止）	""
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	情報	暗号化キー	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	情報	インベントリ	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	条件	パスワード重複登録禁止	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	条件	シークレットマスキング	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	資格情報を暗号化登録・確認する	""	資格情報を暗号化登録・参照する	画面	資格情報管理CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	接続情報管理フロー	""	旧形式の資格情報をage形式へ移行する	""	資格情報を旧形式から移行する	情報	パスワード	""	""	stfw secret migrateで旧S/MIME形式の資格情報をage形式へ一括変換する（旧ファイルは.bak退避）。移行前も旧形式は読み込み専用でサポートされ復号参照できる	""
テスト環境準備業務	接続情報管理フロー	""	旧形式の資格情報をage形式へ移行する	""	資格情報を旧形式から移行する	条件	資格情報の旧形式移行	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	旧形式の資格情報をage形式へ移行する	""	資格情報を旧形式から移行する	画面	資格情報管理CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	接続情報管理フロー	""	テスト対象ホストのSSHサーバキーを登録する	""	SSHサーバキーを登録する	情報	SSH サーバキー（known_hosts）	""	""	stfw ssh trust <host|group>でテスト対象ホストのサーバキーをknown_hostsへ登録する（旧キー削除+新キー登録）。inventoryグループ指定で一括登録できる（旧実装で未配線だった機能の正式コマンド化）	""
テスト環境準備業務	接続情報管理フロー	""	テスト対象ホストのSSHサーバキーを登録する	""	SSHサーバキーを登録する	情報	インベントリ	""	""	""	""
テスト環境準備業務	接続情報管理フロー	""	テスト対象ホストのSSHサーバキーを登録する	""	SSHサーバキーを登録する	画面	SSHサーバキー登録CLI	アクター	環境管理者	""	提供者
テスト環境準備業務	接続情報管理フロー	""	テスト対象ホストのSSHサーバキーを登録する	""	SSHサーバキーを登録する	イベント	SSHサーバキー収集	外部システム	テスト対象ホスト群	""	""
テスト環境準備業務	接続情報管理フロー	""	環境別の接続情報を使ってテストを適用できる	""	""	""	""	アクター	テスト実行者	環境別inventoryと暗号化保管された資格情報により、シナリオ本体の変更なしに環境を切り替えてテスト対象ホストへ適用できる	受益者
シナリオ作成業務	テストシナリオ作成フロー	""	テストシナリオ（業務フローと日付進行）を設計する	""	""	""	""	アクター	シナリオ作成者	テスト対象の一連の業務処理と業務日付の進行をscenario > bizdate > processの3階層に割り付けて設計する（システム外作業: 人手の設計）	提供者
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	情報	シナリオ	""	""	stfw new scenario / new bizdate / new processでscenario > bizdate > processの3階層scaffold（ディレクトリ・metadata.yml・config・scripts雛形）を生成し、テストシナリオの骨格を作る（旧 scenario -i / bizdate -i / process -i）	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	情報	業務日付	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	情報	プロセス	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	情報	メタ情報（metadata.yml）	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	条件	業務日付フォーマット	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	条件	連番フォーマット	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	条件	グループ名制約	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	条件	階層ディレクトリ判定	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	条件	プロセス実行の前提条件	""	""	""	""
シナリオ作成業務	テストシナリオ作成フロー	""	3階層scaffoldを生成する	""	シナリオ構造を組み立てる	画面	シナリオscaffold生成CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	テストシナリオ作成フロー	""	テストスクリプトと設定を配置する	""	""	""	""	アクター	シナリオ作成者	scripts/配下に任意言語のテストスクリプトをファイル名昇順=実行順で配置し、Process/Plugin設定（config.yml）に共通環境変数を定義する（システム外作業: スクリプト作成）	提供者
シナリオ作成業務	テストシナリオ作成フロー	""	完成したテストシナリオを実行対象として受け取る	""	""	""	""	アクター	テスト実行者	ディレクトリ構造と命名規則で表現されたテストシナリオにより、手書きの実行手順書なしに一括自動実行の対象を得られる	受益者
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	情報	シナリオ	""	""	stfw validateでディレクトリ規約・プラグイン解決可否・config.ymlを静的検証し、実行可能性を事前確認する。残存する*.digファイルには不要である旨を警告する（ワークフロー定義の生成は廃止され、記述したディレクトリ構造そのものが実行定義となる）	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	情報	業務日付	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	情報	プロセス	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	情報	Process / Plugin 設定（config.yml）	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	条件	実行対象ディレクトリ規則	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	条件	階層ディレクトリ判定	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	条件	プロセス実行の前提条件	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	シナリオ構造を静的検証する	""	シナリオを検証する	画面	静的検証CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	情報	実行（run）	""	""	stfw run --dry-runでexecute / post_executeをスキップして実行し（setup → pre_execute → teardownは実行）、テスト対象環境への影響なしに実行経路と前後処理を事前検証する	""
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	情報	実行コンテキスト	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	条件	dry-run の実行範囲	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	条件	run 前静的検証	""	""	""	""
シナリオ作成業務	シナリオ静的検証フロー	""	dry-runで実行経路を検証する	""	シナリオをdry-runする	画面	シナリオ実行CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	シナリオ静的検証フロー	""	検証済みシナリオで本実行に臨める	""	""	""	""	アクター	テスト実行者	静的検証・dry-run検証済みのシナリオにより、テスト対象環境へ影響する本実行を安全に開始できる	受益者
シナリオ作成業務	プロセスプラグイン拡張フロー	""	プラグイン一覧確認とインストールを行う	""	プロセスプラグインを管理する	情報	プラグイン	""	""	stfw plugin listで利用可能なプロセスプラグインを一覧し、stfw plugin installでプラグインをインストールする（旧 process -l / -I。解決順互換。scaffold生成はstfw new processで行う）	""
シナリオ作成業務	プロセスプラグイン拡張フロー	""	プラグイン一覧確認とインストールを行う	""	プロセスプラグインを管理する	条件	プラグイン解決順	""	""	""	""
シナリオ作成業務	プロセスプラグイン拡張フロー	""	プラグイン一覧確認とインストールを行う	""	プロセスプラグインを管理する	画面	プラグイン管理CLI	アクター	シナリオ作成者	""	提供者
シナリオ作成業務	プロセスプラグイン拡張フロー	""	新規プロセスタイプのプラグインを作成する	""	""	""	""	アクター	シナリオ作成者	__commonの構造に従いsetup/execute/teardown等を実装し、テスト対象固有のプロセスタイプを追加する。プラグインenv契約（stfw_* / STFW_PROJ_DIR系）は維持される（システム外作業: プラグイン開発）	提供者
シナリオ作成業務	プロセスプラグイン拡張フロー	""	追加したプロセスタイプでシナリオを記述できる	""	""	""	""	アクター	シナリオ作成者	同梱のscripts以外のプロセスタイプをstfw new processで選択でき、テスト対象固有の処理をシナリオに組み込める	受益者
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	実行（run）	""	""	stfw run <scenario-names...>でrun_id（_{YYYYMMDDHHMMSS}_{PID}）を採番し、run前静的検証（対象シナリオの存在チェック等を統合）の通過後に内蔵ランナーで実行を開始する。digdagプロジェクトのpush・server起動等の前準備は不要で、旧server start → run -fの2段階を1コマンドに統合	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	シナリオ	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	情報	実行コンテキスト	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	run 実行の前提条件	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	run 前静的検証	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	条件	run_id の採番・保持	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	実行対象シナリオを指定して一括実行を開始する	""	シナリオを実行する	画面	シナリオ実行CLI	アクター	テスト実行者	""	提供者
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	情報	実行コンテキスト	""	""	内蔵ランナーがrun/scenario/bizdate各階層のsetup/teardownを直接実行し（digdagからの呼び戻しは廃止）、実行ジャーナルへ開始・終了イベントを記録して階層実行ステータスをStarted→Success/Errorへ遷移させる	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	情報	実行ログ	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	条件	設定の上書き順	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーが各階層のsetup/teardownを実行する	""	階層setup/teardownを実行する	画面	シナリオ実行CLI	アクター	テスト実行者	""	提供者
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセス配下スクリプトを逐次実行する	""	プロセスを実行する	情報	プロセス	""	""	内蔵ランナーがプロセスをsetup→pre_execute→execute→post_execute→teardownの順に直接実行する（digdagからの呼び戻しは廃止）。scriptsプラグインではscripts/配下をファイル名昇順に逐次実行し、エラー時は後続をBlockedとして停止、ステップ実行ステータスをPending→Success/Error/Blockedへ遷移させる	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセス配下スクリプトを逐次実行する	""	プロセスを実行する	情報	スクリプト（ステップ）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセス配下スクリプトを逐次実行する	""	プロセスを実行する	情報	ステップ実行結果	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセス配下スクリプトを逐次実行する	""	プロセスを実行する	情報	Process / Plugin 設定（config.yml）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセス配下スクリプトを逐次実行する	""	プロセスを実行する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセス配下スクリプトを逐次実行する	""	プロセスを実行する	条件	逐次実行・エラー時 Blocked	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセス配下スクリプトを逐次実行する	""	プロセスを実行する	条件	dry-run の実行範囲	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセス配下スクリプトを逐次実行する	""	プロセスを実行する	条件	プロセス実行の前提条件	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセス配下スクリプトを逐次実行する	""	プロセスを実行する	条件	設定の上書き順	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセス配下スクリプトを逐次実行する	""	プロセスを実行する	条件	プラグイン解決順	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセス配下スクリプトを逐次実行する	""	プロセスを実行する	条件	階層ディレクトリ判定	""	""	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセス配下スクリプトを逐次実行する	""	プロセスを実行する	画面	シナリオ実行CLI	アクター	テスト実行者	""	提供者
シナリオ実行業務	シナリオ一括自動実行フロー	""	内蔵ランナーがプロセス配下スクリプトを逐次実行する	""	プロセスを実行する	イベント	リモートテスト適用	外部システム	テスト対象ホスト群	""	""
シナリオ実行業務	シナリオ一括自動実行フロー	""	順序保証・エラー時停止のもとで実行結果を得る	""	""	""	""	アクター	テスト実行者	指定したシナリオ群が業務日付順・連番順に自動実行され、途中エラー時は後続を実行せず停止するため、再現性と信頼性のあるテスト結果を得られる	受益者
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	情報	OTel トレース（スパンツリー）	""	""	実行ジャーナル（journal.jsonl）のイベントの投影として、runをルートにscenario/bizdate/process/stepを子孫とするスパンツリーがOTLP受信先へ送信され、既存のオブザーバビリティ基盤（Jaeger/Grafana Tempo/Datadog等）でそのまま進捗・成否・所要時間を可視化・分析できる（送信先未設定時は送信せず、送信失敗は実行を失敗させない）	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	情報	ステップ実行結果	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	条件	スパンステータス・属性マップ	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	条件	OTel エクスポート先未設定時の送信抑制	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	条件	OTel エクスポート失敗の非致命扱い	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	画面	実行状況通知ビュー	アクター	テスト結果確認者	""	受益者
テスト結果確認業務	実行結果監視・確認フロー	""	OTelトレースで進捗・成否を把握する	""	実行状況を通知する	イベント	実行トレース送信	外部システム	OTLP 受信先（OpenTelemetry Collector / 互換バックエンド）	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	statusで実行状況を確認する	""	実行状況を確認する	情報	実行ジャーナル（journal.jsonl）	""	""	stfw status [run_id]で実行ジャーナルをリプレイし、階層ツリーと各階層・ステップのステータスを表示する（digdag Web UI・ログ追従（run -f）・attempt URL案内による確認は廃止）	""
テスト結果確認業務	実行結果監視・確認フロー	""	statusで実行状況を確認する	""	実行状況を確認する	情報	実行（run）	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	statusで実行状況を確認する	""	実行状況を確認する	画面	実行状況確認CLI	アクター	テスト結果確認者	""	提供者
テスト結果確認業務	実行結果監視・確認フロー	""	HTMLレポートで実行結果を閲覧する	""	HTMLレポートを生成する	情報	HTML レポート	""	""	stfw report [run_id]で実行ジャーナルから静的HTMLレポート（.stfw/reports/にindex + run詳細）を生成する。実行中もprocess終了ごとに増分再生成され、Docker Compose構成ではnginxがreports共有volumeを配信し、ブラウザ（http://localhost:8080）で準リアルタイムに閲覧できる	""
テスト結果確認業務	実行結果監視・確認フロー	""	HTMLレポートで実行結果を閲覧する	""	HTMLレポートを生成する	情報	実行ジャーナル（journal.jsonl）	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	HTMLレポートで実行結果を閲覧する	""	HTMLレポートを生成する	情報	実行（run）	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	HTMLレポートで実行結果を閲覧する	""	HTMLレポートを生成する	画面	レポート生成CLI	アクター	テスト結果確認者	""	提供者
テスト結果確認業務	実行結果監視・確認フロー	""	レポート・ログファイルで失敗箇所を調査する	""	""	""	""	アクター	テスト結果確認者	HTMLレポートとシークレットマスキング済みログファイル（.stfw/stfw.log）で実行詳細を確認し、失敗箇所を特定する（レポート・ログ閲覧）	提供者
テスト結果確認業務	実行結果監視・確認フロー	""	失敗原因に応じてシナリオ・スクリプトを修正する	""	""	""	""	アクター	シナリオ作成者	調査結果をもとにテストスクリプト・設定・シナリオ構造を修正する（システム外作業: エディタ）	提供者
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	情報	実行（run）	""	""	修正済みシナリオをstfw runで再実行し、失敗からの回復を確認する（専用のリラン・途中再開I/Fは無く、実行のやり直しとなる）	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	情報	シナリオ	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	情報	実行コンテキスト	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	条件	run 実行の前提条件	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	条件	run_id の採番・保持	""	""	""	""
テスト結果確認業務	実行結果監視・確認フロー	""	修正後のシナリオを再実行する	""	シナリオを実行する	画面	シナリオ実行CLI	アクター	テスト実行者	""	提供者
